date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:05	44302/44302	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d5-ad0e%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/ui-features/buttons.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/ui-features/buttons.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:06	51964/51964	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d5-cafc%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/ui-features/dropdowns.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/ui-features/dropdowns.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:06	34025/34025	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d5-84e9%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/ui-features/typography.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/ui-features/typography.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:07	42979/42979	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d3-a7e3%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/forms/basic_elements.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/forms/basic_elements.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:07	23681/23681	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d6-5c81%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/charts/chartjs.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/charts/chartjs.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:08	36522/36522	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d3-8eaa%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/tables/basic-table.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/tables/basic-table.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:09	149019/149019	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630da-2461b%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/icons/font-awesome.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/icons/font-awesome.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:09	15950/15950	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d8-3e4e%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/blank-page.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/blank-page.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:10	4950/4950	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d8-1356%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/login.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/login.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
22:45:10	4523/4523	---MCZ	200	added ('OK')	text/html	etag:W/%225fb630d8-11ab%22	https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/register.html	F:/HtTrack/staradmin/www.bootstrapdash.com/demo/star-admin-free/jquery/src/pages/samples/register.html	(from https://www.bootstrapdash.com/demo/star-admin-free/jquery/src/index.html)
